d17041a0;24398962;0;1;17
0d08f912;5021928;2;1;7
20dc8016;16275649;1;2;21
dad99391;15410321;1;0;3
c7335058;5641493;1;2;18
5d09f3d4;18907063;0;0;21
1dae1360;11500540;1;1;15
f2a32aa0;13496221;1;0;19
1c016e3b;14019683;0;0;1
010b8d6f;15710885;0;2;11
df3f40b6;3177427;1;0;1
b7e4b457;16841895;2;1;13
6525dee7;5349971;1;0;8
ca8d1e2a;21624904;0;1;5
edab72ce;4729131;0;2;15
c02361c4;1925304;1;0;21
3c1a35ae;7716649;2;1;11
1d3f0537;4190547;1;2;16
08c71e4e;4689412;0;2;6
15efe769;5689392;1;2;12
506def5d;14780110;0;1;4
360e218a;20807611;2;0;8
c42c5996;5567872;2;0;3
96772519;14919682;0;0;7
36247f99;10823397;0;2;8
b101bc53;14606002;2;0;0
9389ec6e;703134;0;1;12
b021ca7a;9235150;0;2;9
ee263a5b;15037016;2;0;9
5f9a3ab5;20180742;1;0;22
f5a13c1e;1604302;0;1;0
9c528aa7;20192383;1;1;13
8a4a3da8;7542043;0;0;7
1ee53b66;16690277;0;1;5
eb5a82db;3280706;0;0;13
c1336086;19003013;2;2;19
413b35d4;24651503;1;1;23
65964872;15818048;2;0;7
76357db7;59923;2;0;17
99502c7a;20364441;0;1;9
afb02c79;10870038;0;1;13
36d9e2a5;22097352;1;2;23
2cbfe420;14394082;2;1;0
a84c07bf;14903835;0;1;18
ec4d6800;15131852;0;0;16
097fc44e;3099483;2;0;21
43b5db43;1154453;0;0;14
cfe4d9c8;17735410;2;2;0
3eb2c9a5;18776933;0;1;18
ef931ae4;6985156;0;1;15
0ee78808;14914312;2;2;10
a83bfbe8;20630993;0;1;7
c58fd556;7765569;0;0;16
03ea9301;14919209;2;1;3
8b2a2847;2720090;2;2;12
c3952288;10303865;0;0;21
1926ec14;1631130;0;1;20
d6885862;15848586;2;1;23
481b0079;9850802;2;1;8
df4a7872;15305890;0;1;0
1e2c41b3;1671142;0;0;19
5c90bf03;16143607;0;2;8
09e39165;11065762;1;1;1
b7c7c4e0;19037915;2;0;7
23409993;20876640;2;0;18
9520e000;21602510;2;1;15
72d31359;4840571;1;1;5
351667b9;1373465;1;0;6
32b63fad;8099799;2;0;0
0b73a217;4319284;1;1;8
64b36bb3;8091392;1;2;10
c35b7e42;21395707;2;0;23
97812913;3959848;2;1;6
f9aa6a23;16914775;2;2;9
924201ec;13887507;1;1;2
3aae2fff;3747703;2;2;5
0cab269c;15987267;2;0;19
428aad17;16631080;2;0;10
5e60e698;24652152;2;2;5
e7e7ef21;16095938;0;2;18
445b7f12;506261;0;2;11
46599544;11789214;1;0;20
3b8c1bf5;23351630;0;2;15
1589a749;207138;1;1;14
b5a3ca5e;13755525;2;1;10
5e8e8daa;18110073;1;2;0
78f682fd;20172719;2;0;21
48cc8dd7;19138358;0;0;22
39c13005;19747273;2;2;3
0498e298;12398657;2;1;9
36183b20;12188344;0;0;15
d9cfecac;8040364;2;1;1
a800635b;17364569;1;2;18
ce8be735;21091594;2;1;18
29691258;18511541;0;1;19
8dbea57d;16074282;0;2;12
8e059acd;24196920;1;1;17
be8135f3;6167934;1;1;7
a0e86263;3437699;0;1;8
ea2e50cc;1941543;1;0;12
